dependency,restimulus,num_obs_train,num_subj_train,num_subj_rerep_train,num_obs_test,num_subj_test,num_subj_rerep_test,num_coeffs_glm,wmae_glm_train,wwmape_glm_train,wmae_glm_test,wwmape_glm_test,num_coeffs_lme,subj_intercept_mean,subj_intercept_var,rand_eff_var,rand_eff_ICC,x_joint_poly_stand_est,x_joint_poly_stand_t_val,y_joint_scale,y_joint_center,x_joint_poly_scale,x_joint_poly_center,wmae_lme_train,wwmape_lme_train,wmae_lme_test,wwmape_lme_test,x_joint_scaled_stand_est,x_joint_scaled_stand_t_val,x_joint_scaled_scale,x_joint_scaled_center,x_joint_exp_stand_est,x_joint_exp:x_joint_weight_exp_stand_est,x_joint_exp_stand_t_val,x_joint_exp:x_joint_weight_exp_stand_t_val,x_joint_exp_scale,x_joint_exp:x_joint_weight_exp_scale,x_joint_exp_center,x_joint_exp:x_joint_weight_exp_center,x_joint_poly:x_joint_height_exp_stand_est,x_joint_poly:x_joint_height_exp_stand_t_val,x_joint_poly:x_joint_height_exp_scale,x_joint_poly:x_joint_height_exp_center,x_joint_poly:x_joint_weight_exp_stand_est,x_joint_poly:x_joint_weight_exp_stand_t_val,x_joint_poly:x_joint_weight_exp_scale,x_joint_poly:x_joint_weight_exp_center,x_joint_exp:x_joint_height_exp_stand_est,x_joint_exp:x_joint_height_exp_stand_t_val,x_joint_exp:x_joint_height_exp_scale,x_joint_exp:x_joint_height_exp_center,x_joint_height_stand_est,x_joint_height_stand_t_val,x_joint_height_scale,x_joint_height_center,x_joint_scaled:x_joint_height_exp_stand_est,x_joint_scaled:x_joint_height_exp_stand_t_val,x_joint_scaled:x_joint_height_exp_scale,x_joint_scaled:x_joint_height_exp_center,x_joint_weight_stand_est,x_joint_weight_stand_t_val,x_joint_weight_scale,x_joint_weight_center,x_joint_scaled:x_joint_height_poly_stand_est,x_joint_scaled:x_joint_height_poly_stand_t_val,x_joint_scaled:x_joint_height_poly_scale,x_joint_scaled:x_joint_height_poly_center,x_joint_scaled:x_joint_weight_poly_stand_est,x_joint_scaled:x_joint_weight_poly_stand_t_val,x_joint_scaled:x_joint_weight_poly_scale,x_joint_scaled:x_joint_weight_poly_center,x_joint_scaled:x_joint_poly_stand_est,x_joint_scaled:x_joint_poly_stand_t_val,x_joint_scaled:x_joint_poly_scale,x_joint_scaled:x_joint_poly_center,x_joint_weight_exp:x_joint_weight_poly_stand_est,x_joint_weight_exp:x_joint_weight_poly_stand_t_val,x_joint_weight_exp:x_joint_weight_poly_scale,x_joint_weight_exp:x_joint_weight_poly_center,x_joint_weight_exp_stand_est,x_joint_weight_exp_stand_t_val,x_joint_weight_exp_scale,x_joint_weight_exp_center,x_joint_height:x_joint_weight_exp_stand_est,x_joint_height:x_joint_weight_exp_stand_t_val,x_joint_height:x_joint_weight_exp_scale,x_joint_height:x_joint_weight_exp_center,x_joint_weight_exp:x_joint_poly_stand_est,x_joint_weight_exp:x_joint_poly_stand_t_val,x_joint_weight_exp:x_joint_poly_scale,x_joint_weight_exp:x_joint_poly_center,x_joint_poly:x_joint_weight_poly_stand_est,x_joint_poly:x_joint_weight_poly_stand_t_val,x_joint_poly:x_joint_weight_poly_scale,x_joint_poly:x_joint_weight_poly_center
MCP2_f - PIP2,5,489909,37,124,111786,29,30,14,14.19038232929905,0.2762685381126418,14.012344807058914,0.27263792478827364,2,0.09318892379059956,0.6624727572601243,0.653245112818364,0.6347414513627281,NA,NA,20.14632819368388,51.44586402116257,NA,NA,9.815597949351712,0.19109709895341428,10.577030480601309,0.20579707967225824,1.229649701246657,886.4739726277905,18.86460354157585,23.909188599753744,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MCP2_f - PIP2,10,467686,34,108,107606,26,27,5,12.047180828628818,0.24205769321858936,12.64545909920174,0.256910852894725,3,0.2006221772932742,1.0139995149636751,1.024449411754839,0.7600554326886728,-0.3974189948708317,-127.98937400473116,16.2543605908144,47.88255685045488,1300.8764343322564,1479.771045618127,7.044186648185305,0.14153515207549122,7.301664450969248,0.1483439096147976,1.2055518501246885,367.0536985027804,17.421645056768934,34.29661758983077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MCP2_f - PIP2,17,662023,31,101,149009,23,25,9,9.835833688210624,0.1673313762301489,10.800459179950264,0.1882669357858031,3,0.15158277032508125,0.6279422535905421,0.6307170017301893,0.7435887564251072,-0.6649456823977404,-192.7462970618053,18.24951499852089,53.888824997113645,1471.836178146233,2354.0524710773293,6.526551234346037,0.11103245893519964,8.179972630054825,0.14258823224210831,1.4975840954993265,423.2637211939815,15.320697819466732,46.03617103927357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PIP2 - DIP2,1,407046,37,120,135750,28,29,8,11.454275654934587,0.5877345207902387,11.03364210303546,0.5866737383407755,3,-0.391189917003696,0.5636884586423865,0.7015332916065812,0.736975177668041,0.4574018855277993,151.19828263706978,20.395537322474087,20.996996438515545,2053.726188541688,2331.8933083141956,8.001553439671714,0.41057063040183983,7.508315498580457,0.3992273340987145,0.3333826613921409,115.75893812497311,21.0739388317202,43.44863060545599,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PIP2 - DIP2,2,548476,51,162,120060,38,40,9,12.79462612854402,0.4000224772896413,14.44051061885603,0.43978029976516225,2,-0.04314767817816728,0.49259599404231713,0.48482161407845303,0.7761686645518037,1.0983890823324411,1796.8798853039368,27.10588345516221,27.9882422178694,3537.6128160450135,4984.59924662701,8.124509679730584,0.2540118371727158,8.774703849547299,0.26723029338488435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PIP2 - DIP2,3,524948,46,153,151089,38,38,4,14.178486914374949,0.4775525315661395,13.88835894444603,0.48024107153191153,3,-2.118443885627281e-4,0.6122340997929739,0.5989592750579673,0.8026806392920317,1.4592190777908915,356.6784359181283,24.81909753190003,26.955470347311124,3083.336872615532,5402.9624179656685,7.383441127143796,0.24868528096338915,8.185979682639456,0.2830603435621411,-0.3733048336871149,-91.80461842791723,22.6094540024854,69.94123234160186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PIP2 - DIP2,5,517316,33,116,120657,25,28,5,11.995080429378236,0.5693582800858197,12.0201094024184,0.5491568945826885,2,-0.146447887904763,0.6780652766911627,0.6789605908876617,0.6557232564364782,0.8820033276057294,972.6788144603464,18.80468022438626,18.288315951594285,1815.1172956611745,2719.0558259364243,8.466826538576237,0.40188624196149886,9.56448136631304,0.43696781032306536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PIP2 - DIP2,6,483448,29,90,121566,22,22,5,11.191726619778043,0.6239193716713394,11.498751348750186,0.6106616514769733,2,-0.42093506499994665,0.6957373100715765,0.8489870233837437,0.7781079211433543,NA,NA,18.158943934518017,18.13648364138806,NA,NA,6.818195870709173,0.3801026086598025,8.20966241114794,0.4359887307768366,1.0340227692006223,1069.3037993038906,20.41920902984508,52.15927557297026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PIP2 - DIP2,8,548266,46,166,134505,39,41,11,11.606921119066955,0.35380537497055203,12.622648324796108,0.37258036312958526,2,-0.09213518992926369,0.35262089269369945,0.35346096376574376,0.7412946732372088,1.0424956895120965,1866.2099344081555,28.06098847106706,30.091611621908186,3842.745671058566,5217.901745888628,7.732722055008413,0.2357109691838104,8.842789888347482,0.2610109846130367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PIP2 - DIP2,9,226088,18,55,59269,13,13,8,7.304586532557134,0.6729627946732606,7.261346039875491,0.6984155843922216,3,-0.28452362091666267,0.6985137717773062,0.7407151019453592,0.6463937092153675,0.4219696692809322,68.14653768864585,11.911459187168845,8.170050252915035,1961.3885534862377,2410.1679929152065,5.646966594215481,0.5202482582322767,7.714566877638129,0.7420075705785943,0.6390313827483644,94.68831937037616,18.810569541469185,45.34679736744521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
