dependency,restimulus,num_obs_train,num_subj_train,num_subj_rerep_train,num_obs_test,num_subj_test,num_subj_rerep_test,num_coeffs_glm,wmae_glm_train,wwmape_glm_train,wmae_glm_test,wwmape_glm_test,num_coeffs_lme,subj_intercept_mean,subj_intercept_var,rand_eff_var,rand_eff_ICC,x_joint_poly_stand_est,x_joint_poly_stand_t_val,y_joint_scale,y_joint_center,x_joint_poly_scale,x_joint_poly_center,wmae_lme_train,wwmape_lme_train,wmae_lme_test,wwmape_lme_test,x_joint_scaled_stand_est,x_joint_scaled_stand_t_val,x_joint_scaled_scale,x_joint_scaled_center,x_joint_exp_stand_est,x_joint_exp:x_joint_weight_exp_stand_est,x_joint_exp_stand_t_val,x_joint_exp:x_joint_weight_exp_stand_t_val,x_joint_exp_scale,x_joint_exp:x_joint_weight_exp_scale,x_joint_exp_center,x_joint_exp:x_joint_weight_exp_center,x_joint_poly:x_joint_height_exp_stand_est,x_joint_poly:x_joint_height_exp_stand_t_val,x_joint_poly:x_joint_height_exp_scale,x_joint_poly:x_joint_height_exp_center,x_joint_poly:x_joint_weight_exp_stand_est,x_joint_poly:x_joint_weight_exp_stand_t_val,x_joint_poly:x_joint_weight_exp_scale,x_joint_poly:x_joint_weight_exp_center,x_joint_exp:x_joint_height_exp_stand_est,x_joint_exp:x_joint_height_exp_stand_t_val,x_joint_exp:x_joint_height_exp_scale,x_joint_exp:x_joint_height_exp_center,x_joint_height_stand_est,x_joint_height_stand_t_val,x_joint_height_scale,x_joint_height_center,x_joint_scaled:x_joint_height_exp_stand_est,x_joint_scaled:x_joint_height_exp_stand_t_val,x_joint_scaled:x_joint_height_exp_scale,x_joint_scaled:x_joint_height_exp_center,x_joint_weight_stand_est,x_joint_weight_stand_t_val,x_joint_weight_scale,x_joint_weight_center,x_joint_scaled:x_joint_height_poly_stand_est,x_joint_scaled:x_joint_height_poly_stand_t_val,x_joint_scaled:x_joint_height_poly_scale,x_joint_scaled:x_joint_height_poly_center,x_joint_scaled:x_joint_weight_poly_stand_est,x_joint_scaled:x_joint_weight_poly_stand_t_val,x_joint_scaled:x_joint_weight_poly_scale,x_joint_scaled:x_joint_weight_poly_center,x_joint_scaled:x_joint_poly_stand_est,x_joint_scaled:x_joint_poly_stand_t_val,x_joint_scaled:x_joint_poly_scale,x_joint_scaled:x_joint_poly_center,x_joint_weight_exp:x_joint_weight_poly_stand_est,x_joint_weight_exp:x_joint_weight_poly_stand_t_val,x_joint_weight_exp:x_joint_weight_poly_scale,x_joint_weight_exp:x_joint_weight_poly_center,x_joint_weight_exp_stand_est,x_joint_weight_exp_stand_t_val,x_joint_weight_exp_scale,x_joint_weight_exp_center,x_joint_height:x_joint_weight_exp_stand_est,x_joint_height:x_joint_weight_exp_stand_t_val,x_joint_height:x_joint_weight_exp_scale,x_joint_height:x_joint_weight_exp_center,x_joint_weight_exp:x_joint_poly_stand_est,x_joint_weight_exp:x_joint_poly_stand_t_val,x_joint_weight_exp:x_joint_poly_scale,x_joint_weight_exp:x_joint_poly_center
MCP2_f - PIP2,1,649753,41,144,182406,33,36,9,14.345061340032215,0.3264268108337062,13.456211468796122,0.31210259290818554,2,0.1652477900002875,0.4052402951557385,0.422695778004794,0.5025201122960599,NA,NA,21.08817748966543,42.63747723007271,NA,NA,11.103554419157291,0.2526652045641152,12.181183711765865,0.28252967263104506,0.7946778896609825,787.5509441482905,15.804233623314554,18.35419726474902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MCP2_f - PIP2,2,778709,59,220,165861,47,54,16,11.714371354495839,0.17237919311969063,12.989744613010435,0.1902848188060539,2,0.09433195897894245,0.23029761717333025,0.23532239380895015,0.4939236379880016,0.7721427271978192,1299.5053701229879,27.769962529539335,63.75467936204011,1751.6410251004422,1981.1378906485095,11.113041414120312,0.16353050915844136,11.511122760732594,0.1686247092638268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MCP2_f - PIP2,3,630891,47,175,146463,35,43,4,12.603061701940717,0.1802188047108696,12.781068449929107,0.1888137029196253,2,0.05329191457070805,0.30756709056857856,0.3038853076728595,0.5665347229062175,NA,NA,22.456786945183303,68.42603660456817,NA,NA,8.35925719425056,0.11953407635754028,8.928772238343814,0.1319040388096034,0.8537755769536642,1224.716919491436,18.170485309811525,44.4384854030497,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MCP2_f - PIP2,4,255094,39,105,79955,25,26,8,13.148762409371743,0.5131525957538572,14.300533522023429,0.5002635258900768,2,0.04422984806655512,0.32390863686047444,0.3176232711032016,0.4999491013182802,NA,NA,25.440906464309208,25.380918971467796,NA,NA,11.12330983847587,0.43410589827982454,12.361950076359186,0.4324476931264537,0.9510780353605907,742.9461643623139,17.13142172439741,16.24299239279399,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MCP2_f - PIP2,5,490630,37,124,111065,29,30,11,14.47975358938062,0.2831721791890809,13.683370238855778,0.26139454161390935,2,0.017814888802030613,0.7226981470881612,0.7035219578431487,0.6559219012673535,NA,NA,20.301219080493926,50.62640814044083,NA,NA,9.79642082763999,0.191582944895596,9.8672649111232,0.188495169201951,1.194313902940118,886.5397051032284,18.49355643533689,22.79311403106384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MCP2_f - PIP2,10,439351,33,108,135941,27,27,5,12.008207202920392,0.2382616917943824,12.11254871082188,0.2593485472466909,3,0.18760033857391648,0.9925947442381486,0.997735559671981,0.7603773804532992,-0.3974960118650394,-121.91550115981761,16.133261582680248,48.201586467773126,1330.2625930015672,1515.4191720034553,6.92673984200977,0.13743739806350358,7.828991611413766,0.167630913138257,1.213858539257822,351.5836922799611,17.59391503951205,34.72569697124007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MCP2_f - PIP2,17,645034,31,101,165998,23,25,9,10.074910241554969,0.17078379639319458,10.180489541386448,0.18014468517305327,3,0.11640137950141148,0.6019814898374898,0.5961281167120501,0.7317438757471643,-0.6818977566738148,-190.3761621114876,18.57837894638704,54.34199991557471,1465.1129689484876,2312.218572425611,6.615365939164967,0.11213968983672556,6.204863568161013,0.10979562323442922,1.487670160315077,410.7973587148664,15.240176228979898,45.606534192085924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PIP2 - DIP2,1,428449,37,120,114347,28,29,7,11.419736698485668,0.5887107151214315,11.542779545677154,0.6017001476372057,3,-0.40668523546569607,0.6069655688932725,0.7559968211576905,0.7445283796924028,0.4154247916517913,143.94373410039734,19.609489473625533,20.677848184543542,1873.605022815812,2261.0877640499116,7.754656379570092,0.3997683504684536,8.990227002852656,0.46864110100190715,0.3459345184005232,122.30695699880827,20.130421598503307,43.079633658288216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PIP2 - DIP2,2,543878,50,162,124658,37,40,9,13.07525346342032,0.40886345592266216,13.332310713622256,0.40576739820508256,2,-0.08568689939928359,0.5093753643914094,0.5065330751455989,0.7801151820643388,1.0880617746894738,1756.4000320781388,27.27721747199687,28.071479199020608,3503.7784311907453,4889.122671929798,8.227107277521958,0.25726182082394555,8.49426644002167,0.25852205720848437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PIP2 - DIP2,3,530143,46,153,145894,37,38,7,12.966770973286092,0.43582118893541255,11.795783817637087,0.4114688724765503,3,-0.011367820743595245,0.632510992098224,0.6189109349503227,0.7991378220669875,1.4329232164518368,339.220937533576,24.542574377977676,27.25512433783624,3027.32680122294,5422.993829424107,7.5401116755069255,0.25342781498148315,7.771204512046538,0.2710806511709206,-0.3343435555550277,-79.73091809640508,22.210636331016595,70.21169698648814,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
