dependency,restimulus,num_obs_train,num_subj_train,num_subj_rerep_train,num_obs_test,num_subj_test,num_subj_rerep_test,num_coeffs_glm,wmae_glm_train,wwmape_glm_train,wmae_glm_test,wwmape_glm_test,num_coeffs_lme,subj_intercept_mean,subj_intercept_var,rand_eff_var,rand_eff_ICC,x_joint_scaled_stand_est,x_joint_scaled_stand_t_val,y_joint_scale,y_joint_center,x_joint_scaled_scale,x_joint_scaled_center,wmae_lme_train,wwmape_lme_train,wmae_lme_test,wwmape_lme_test,x_joint_exp_stand_est,x_joint_exp:x_joint_weight_exp_stand_est,x_joint_weight_exp:x_joint_height_exp_stand_est,x_joint_exp_stand_t_val,x_joint_exp:x_joint_weight_exp_stand_t_val,x_joint_weight_exp:x_joint_height_exp_stand_t_val,x_joint_exp_scale,x_joint_exp:x_joint_weight_exp_scale,x_joint_weight_exp:x_joint_height_exp_scale,x_joint_exp_center,x_joint_exp:x_joint_weight_exp_center,x_joint_weight_exp:x_joint_height_exp_center,x_joint_poly_stand_est,x_joint_poly_stand_t_val,x_joint_poly_scale,x_joint_poly_center,x_joint_exp:x_joint_height_exp_stand_est,x_joint_exp:x_joint_height_exp_stand_t_val,x_joint_exp:x_joint_height_exp_scale,x_joint_exp:x_joint_height_exp_center,x_joint_poly:x_joint_weight_exp_stand_est,x_joint_poly:x_joint_weight_exp_stand_t_val,x_joint_poly:x_joint_weight_exp_scale,x_joint_poly:x_joint_weight_exp_center,x_joint_poly:x_joint_height_exp_stand_est,x_joint_poly:x_joint_height_exp_stand_t_val,x_joint_poly:x_joint_height_exp_scale,x_joint_poly:x_joint_height_exp_center,x_joint_scaled:x_joint_height_exp_stand_est,x_joint_scaled:x_joint_height_exp_stand_t_val,x_joint_scaled:x_joint_height_exp_scale,x_joint_scaled:x_joint_height_exp_center,x_joint_height_stand_est,x_joint_height_stand_t_val,x_joint_height_scale,x_joint_height_center,x_joint_poly:x_joint_weight_poly_stand_est,x_joint_poly:x_joint_weight_poly_stand_t_val,x_joint_poly:x_joint_weight_poly_scale,x_joint_poly:x_joint_weight_poly_center,x_joint_scaled:x_joint_height_poly_stand_est,x_joint_scaled:x_joint_height_poly_stand_t_val,x_joint_scaled:x_joint_height_poly_scale,x_joint_scaled:x_joint_height_poly_center
MCP3_f - PIP3,19,344960,19,62,91655,12,15,6,4.864281672874378,0.7341581079998644,5.656538721516839,0.654954813062428,3,-0.3061535833940385,0.924090743193973,0.9691950606668799,0.8550221176496985,NA,NA,8.043394780379352,6.535040375705666,NA,NA,2.475646528308427,0.3736452971945906,4.021489908884839,0.46563707970159784,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.562843218850322,472.73925372365136,1298.9782786225912,1343.8742255546906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4086781631736883,332.42820266221827,15973256842753136e66,846919223675974e67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MCP3_f - PIP3,20,307676,20,73,80525,18,18,9,6.655173800199944,0.3020715204126128,7.97572603583999,0.34781475477484014,4,-0.2636744218141059,0.7957273981083697,0.825542363047487,0.830926265821708,NA,NA,19.9681865094622,21.72692301594352,NA,NA,6.437084396526234,0.2921726658174678,7.938085028946678,0.3461732618846325,2.7266173828958826,NA,NA,60.5593996492738,NA,NA,627744040399218e23,NA,NA,5967051517697808e21,NA,NA,0.8331051030427266,1091.1806777127438,1728.7214583627058,1854.874429390103,6.997863970000054,61.977239952820895,10454277485300704e102,13461727583237811e100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MCP3_f - PIP3,21,243285,20,65,52037,16,16,5,8.95133735793351,0.4644964131505129,11.311700827944614,0.6495176319787107,3,-0.00372042909572975,1.0060341220003866,0.9557019548493151,0.7656117613189865,-0.3576877840955709,-59.180141896297854,11.893960941067728,14.160273829160108,16.79209566882481,51.212671774728896,4.772003578304003,0.2476254057947088,7.705573750758875,0.4424538883901538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3032404370853037,236.69033452308605,1704.8724697902478,2904.711068227638,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MCP3_f - PIP3,22,372208,26,97,106412,24,24,6,10.15910810832319,0.43042262558046984,10.732246636152919,0.47351821116209963,2,-0.19417080158861955,0.9712049247763683,0.97160253405601,0.8108691123848321,NA,NA,15.391387217856359,22.99648312072691,NA,NA,5.508210878978263,0.23337270983840855,5.788533574254053,0.25539629830153293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9359682852723719,918.89980539527,1877.449537250482,3419.6911271105464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MCP3_f - PIP3,23,258899,23,62,61502,14,15,5,11.029671083878965,0.360548481155804,12.417534184116528,0.4012758236464911,2,-0.07279817224526325,0.6553388434508478,0.6321722069980765,0.752029691996942,NA,NA,17.81012675535463,28.39563509937924,NA,NA,5.788427189170066,0.18921766709676519,9.214680872206939,0.2977747918233319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8105613668942496,758.3296993895282,2057.3613683207986,4164.750753111016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MCP3_f - DIP3,2,571438,32,119,130611,28,29,7,11.714621302933546,0.34297559695318214,11.892848252745047,0.34294442411350495,2,0.00556040729793978,0.41944711875105883,0.40637545608117287,0.56366132131561,NA,NA,17.77651858724376,32.199319585138184,NA,NA,7.716644862086869,0.2259245783205292,6.94543791552773,0.20027996284296168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5615157004883735,665.3029509990079,2394.164372334894,3040.769027320676,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MCP3_f - DIP3,3,502223,33,116,124670,27,29,4,10.402166275297352,0.35316097817856834,11.056371904471574,0.39726436429622364,2,0.02293079378873257,0.4371249559200839,0.4244295127086601,0.6001979082234391,NA,NA,16.150427074241886,27.36489071542749,NA,NA,6.383054097883374,0.21670924779663478,7.375719460892072,0.2650155519527647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5957339025491263,668.1887049080559,2259.3167365200543,3314.523311171028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MCP3_f - DIP3,8,387584,28,85,83536,21,21,4,10.42208158472717,0.43275246845465537,8.991884886741502,0.4128768397261281,2,0.038789872807007415,0.38916940920539467,0.3767916384028264,0.5525181307279189,0.5581204886233673,542.5106031224735,16.787049333654515,23.02585106669593,22.926997211615515,52.16704372704772,6.789671248751795,0.281925157561493,6.584517521259317,0.3023386997877856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MCP3_f - DIP3,23,218675,29,84,57807,20,21,8,17.39505209692049,0.38709747194446237,18.279536612341857,0.3971211493273941,3,0.14606679381418516,0.1699484052134711,0.18549016843410487,0.31063095092705806,0.3531253589175275,39.75305775793705,29.00082697180445,41.9258631088121,19.068110967206586,56.90308708437411,15.162175520777213,0.33740857920799927,16.10935393996063,0.34997414251954395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5049257251083763,55.2538903928525,2168.149069747497,3601.5525128807235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PIP3 - DIP3,2,379341,29,96,93509,20,23,5,10.764313297221689,0.30642080060220667,13.81106871088995,0.3642293816062427,2,0.2680193476789728,0.6321662489328393,0.6821842846914912,0.7198432073165361,0.625599387044668,719.7760641572652,16.574943892535874,30.21791926946829,19.636369762029194,18.682699681156432,6.564909109355374,0.18687905578599256,7.706511915139994,0.2032382958879443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
